# dc:title,內建詞庫,
# dc:rights,Copyright (c) 2025 libchewing Core Team,
# dc:license,LGPL-2.1-or-later,
# dc:identifier,2025.11.17,
㥍,1,ㄐㄧ
㥍,1,ㄐㄧˋ
㥍,1,ㄑㄧˊ
㥏,1,ㄊㄧㄢˇ
㥣,1,ㄏㄨㄟˋ
㥮,1,ㄔㄠˇ
㥸,1,ㄇㄧㄣˇ
㥼,1,ㄧㄢ
㥼,1,ㄧㄣˋ
㦀,1,ㄆㄥˊ
㦉,1,ㄧˊ
㦉,1,ㄧˋ
㦊,1,ㄏㄨㄚˊ
㦒,1,ㄌㄧˊ
㦛,1,ㄩˇ
㦛,1,ㄩˊ
㦡,1,ㄌㄜˋ
㦤,1,ㄧˊ
㦤,1,ㄧˋ
㦸,1,ㄐㄧˇ
㦸,1,ㄐㄧˊ
㧍,1,ㄅㄤˇ
㧍,1,ㄅㄥˋ
㧒,1,ㄧˋ
㧒,1,ㄩˋ
㧙,1,ㄅㄧˋ
㧙,1,ㄅㄧㄝˊ
㧡,1,ㄏㄞˋ
㧢,1,ㄧㄣ
㧣,1,ㄓㄨ
㧥,1,ㄒㄧㄢˇ
㧬,1,ㄍㄨㄥˇ
㧯,1,ㄌㄠˇ
㧳,1,ㄆㄞˇ
㧳,1,ㄓㄨㄛˋ
㧸,1,ㄆㄥ
㧻,1,ㄓㄨㄛˊ
㧾,1,ㄗㄨㄥˇ
㨁,1,ㄓˊ
㨁,1,ㄓˋ
㨃,1,ㄉㄨㄟˇ
㨄,1,ㄊㄧㄠˊ
㨄,1,ㄓㄠˋ
㨆,1,ㄌㄧㄣˇ
㨊,1,ㄉㄨㄛˋ
㨊,1,ㄊㄨㄛˇ
㨎,1,ㄖㄨˇ
㨖,1,ㄓˋ
㨗,1,ㄐㄧㄝˊ
㨞,1,ㄙㄨˋ
㨠,1,ㄇㄧㄢˇ
㨨,1,ㄔㄡ
㨩,1,ㄊㄧㄥˊ
㨪,1,ㄏㄨㄤˋ
㨮,1,ㄉㄡ
㨴,1,ㄐㄧㄢˋ
㨻,1,ㄘㄢˊ
㩋,1,ㄒㄧㄠ
㩋,1,ㄙㄨˋ
㩐,1,ㄉㄣˋ
㩒,1,ㄑㄧㄣˊ
㩗,1,ㄒㄧ
㩗,1,ㄒㄧㄝˊ
㩚,1,ㄇㄥˊ
㩜,1,ㄌㄢˇ
㩝,1,ㄏㄠˊ
㩞,1,ㄘㄜˋ
㩦,1,ㄒㄧ
㩦,1,ㄒㄧㄝˊ
㩧,1,ㄅㄛˊ
㩳,1,ㄙㄨㄥˇ
㪕,1,ㄉㄧㄠˋ
㪫,1,ㄖㄨㄟˋ
㪹,1,ㄌㄡˇ
㫞,1,ㄊㄠ
㫠,1,ㄅㄢˋ
㫰,1,ㄌㄤˇ
㫲,1,ㄅㄛˊ
㫲,1,ㄅㄟˋ
㫻,1,ㄎㄨㄣˋ
㬎,1,ㄒㄧㄢˇ
㬙,1,ㄨㄟˇ
㬢,1,ㄒㄧ
㬫,1,ㄧㄢˋ
㬹,1,ㄓㄥ
㭂,1,ㄐㄧㄠˇ
㭘,1,ㄍㄜˊ
㭠,1,ㄒㄧㄢˇ
㭱,1,ㄏㄜˊ
㭱,1,ㄒㄧㄚˊ
㭲,1,ㄐㄧˊ
㭻,1,ㄊㄤˊ
㭼,1,ㄊㄚˋ
㮀,1,ㄏㄢˊ
㮕,1,ㄖㄨㄢˇ
㮖,1,ㄐㄧㄚˊ
㮙,1,ㄜˋ
㮡,1,ㄍㄨㄢˋ
㯂,1,ㄉㄞˋ
㯄,1,ㄓ
㯈,1,ㄙㄨˋ
㯗,1,ㄒㄧㄢˊ
㯝,1,ㄌㄨˋ
㯬,1,ㄌㄧㄢˇ
㯲,1,ㄐㄧㄣˋ
㯳,1,ㄐㄧㄥˋ
㯳,1,ㄑㄧㄥˊ
㰍,1,ㄌㄨㄥˊ
㰑,1,ㄕㄢ
㰕,1,ㄒㄧ
㰘,1,ㄧˊ
㰰,1,ㄏㄜ
㰰,1,ㄑㄧㄝˋ
㰰,1,ㄒㄧㄚˋ
㱄,1,ㄇㄛˋ
㱄,1,ㄏㄟ
㱔,1,ㄒㄧㄝ
㱔,1,ㄙㄨㄛˋ
㲉,1,ㄑㄩㄝˋ
㲋,1,ㄔㄨㄛˋ
㳋,1,ㄑㄧㄡ
㳍,1,ㄅㄨˋ
㳑,1,ㄧˋ
㳖,1,ㄧ
㳜,1,ㄒㄧㄡ
㳫,1,ㄊㄚˋ
